Scheme,Accuracy,F1-Score,Precision,Recall
Scheme 1 IndoBERT D1 - Without Lexicon,0.9542525773195876,0.9541718807524138,0.9544471682766986,0.9542525773195876
Scheme 2 SVM D1 - Without Lexicon,0.94909793814433,0.948755761072798,0.9518690378933612,0.94909793814433
Scheme 3 IndoBERT D2 - Without Lexicon,0.8917322834645669,0.8947344110590295,0.8989123435372409,0.8917322834645669
Scheme 4 SVM D2 - Without Lexicon,0.905511811023622,0.905511811023622,0.905511811023622,0.905511811023622
Scheme 5 IndoBERT D1+D2 - Without Lexicon,0.9325242718446602,0.932478074530906,0.9324435675569914,0.9325242718446602
Scheme 6 SVM D1+D2 - Without Lexicon,0.9286407766990292,0.9279475920555742,0.92916261603969,0.9286407766990292
Scheme 7 IndoBERT D1+Lexicon,0.9536082474226804,0.9535132657019596,0.9538834147807372,0.9536082474226804
Scheme 8 SVM D1+Lexicon,0.9510309278350516,0.950708209618396,0.9537409905120198,0.9510309278350516
Scheme 9 IndoBERT D2+Lexicon,0.8405511811023622,0.8318957410826717,0.8257318912722117,0.8405511811023622
Scheme 10 SVM D2+Lexicon,0.889763779527559,0.8833699880480798,0.8808596818967475,0.889763779527559
Scheme 11 IndoBERT D1+D2+Lexicon,0.9300970873786408,0.930020024721908,0.9299728438027068,0.9300970873786408
Scheme 12 SVM D1+D2+Lexicon,0.9300970873786408,0.929179765469708,0.931541872553158,0.9300970873786408
